segregant,replicate,Reason.To.Exlude
LK2-F05,2,excluded by neut data
LK2-F11,1,excluded by neut data
LK2-G07,1,excluded by neut data
LK3-A05,1,excluded by neut data
LK3-C06,1,excluded by neut data
LK3-C08,1,excluded by neut data
LK3-D01,1,excluded by low read counts
LK3-D05,1,excluded by neut data
LK3-E09,1,excluded by neut data
LK3-E09,2,excluded by neut data
LK3-G10,1,excluded by neut data
LK3-G11,1,excluded by neut data
LK3-H03,1,excluded by neut data
LK4-B05,1,excluded by neut data
LK4-E02,1,excluded by neut data
LK4-G05,1,excluded by low read counts
LK5-A04,1,excluded by neut data
LK5-E09,1,excluded by low read counts
LK5-F10,1,excluded by low read counts
LK1-D02,1,excluded by low read counts
LK5-H02,1,excluded by neut data
LK5-H07,1,excluded by low read counts
LK6-A10,1,excluded by neut data
LK6-F03,1,excluded by neut data
LK1-D08,1,excluded by neut data
LK1-D10,2,excluded by neut data
LK1-E01,1,excluded by neut data
LK1-G08,1,excluded by neut data
LK1-H04,1,excluded by neut data
LK2-A11,1,excluded by neut data
LK2-C05,1,excluded by neut data
